Wavelength (nm),Transmittance (%)
300,34.298193
310,56.204287
320,72.411912
330,81.616262
340,86.279055
350,88.271327
360,89.068665
370,89.548926
380,89.552604
390,89.767504
400,90.078967
410,90.150258
420,90.155382
430,90.127232
440,90.185522
450,90.281526
460,90.366707
470,90.389635
480,90.439694
490,90.399937
500,90.527304
510,90.567626
520,90.566817
530,90.616113
540,90.632578
550,90.669846
560,90.667842
570,90.678334
580,90.686949
590,90.654301
600,90.638832
610,90.720516
620,90.721701
630,90.666835
640,90.783466
650,90.745591
660,90.687178
670,90.651583
680,90.658008
690,90.738471
700,90.632253
710,90.775049
720,90.735862
730,90.815051
740,90.686316
750,90.813154
760,90.769236
770,90.864541
780,90.670989
790,90.56963
800,90.719246
810,90.724435
820,90.64965119473685
830,90.6411470631579
840,90.63264293157896
850,90.6241388
860,90.61563466842105
870,90.6071305368421
880,90.59862640526316
890,90.59012227368422
900,90.58161814210527
910,90.57311401052633
920,90.563099
930,90.544284
940,90.604939
950,90.579066
960,90.643655
970,90.596892
980,90.647859
990,90.602418
1000,90.634229
1010,90.557871
1020,90.581968
1030,90.616174
1040,90.626042
1050,90.555055
1060,90.597401
1070,90.580159
1080,90.60294
1090,90.565812
1100,90.594748
1110,90.589091
1120,90.593627
1130,90.626987
1140,90.588555
1150,90.575814
1160,90.555441
1170,90.569567
1180,90.570427
1190,90.559815
1200,90.554225
1210,90.572396
1220,90.552648
1230,90.571039
1240,90.570908
1250,90.577589
1260,90.573831
1270,90.605993
1280,90.602717
1290,90.602253
1300,90.597455
1310,90.591608
1320,90.573042
1330,90.580022
1340,90.601605
1350,90.598357
1360,90.545184
1370,90.519963
1380,90.51395
1390,90.425649
1400,90.25454
1410,90.156694
1420,90.131867
1430,90.149316
1440,90.222081
1450,90.229386
1460,90.271147
1470,90.279112
1480,90.349623
1490,90.335633
1500,90.355781
1510,90.364411
1520,90.392696
1530,90.386719
1540,90.396387
1550,90.399611
1560,90.384562
1570,90.351176
1580,90.384098
1590,90.37386
1600,90.354798
1610,90.333798
1620,90.370068
1630,90.332089
1640,90.326527
1650,90.322357
1660,90.295123
1670,90.313233
1680,90.272425
1690,90.267116
1700,90.217209
1710,90.132653
1720,90.118615
1730,90.11912
1740,90.071496
1750,89.972904
1760,90.000823
1770,89.933933
1780,89.993022
1790,89.878592
1800,89.851763
1810,89.795122
1820,89.825492
1830,89.83452
1840,89.858486
1850,89.842064
1860,89.709818
1870,89.638994
1880,89.623164
1890,89.483446
1900,89.352328
1910,89.339779
1920,89.27638
1930,89.068402
1940,89.140739
1950,89.018273
1960,89.103562
1970,89.083048
1980,89.024695
1990,89.047113
2000,89.016206
2010,89.171655
2020,89.16515
2030,89.300633
2040,89.128883
2050,89.04225
2060,89.171039
2070,89.177939
2080,89.008022
2090,88.883194
2100,88.894392
2110,88.81653353548393
2120,88.785154480242
2130,88.75377542500006
2140,88.72239636975812
2150,88.69101731451619
2160,88.65963825927425
2170,88.6282592040323
2180,88.59688014879038
2190,88.56550109354843
2200,88.5341220383065
2210,88.50274298306456
2220,88.47136392782262
2230,88.4399848725807
2240,88.40860581733875
2250,88.37722676209681
2260,88.34584770685488
2270,88.31446865161294
2280,88.28308959637101
2290,88.25171054112907
2300,88.22033148588713
2310,88.1889524306452
2320,88.15757337540326
2330,88.12619432016132
2340,88.09481526491939
2350,88.06343620967745
2360,88.03205715443552
2370,88.00067809919358
2380,87.96929904395164
2390,87.93791998870971
2400,87.90654093346777
2410,87.87516187822582
2420,87.8437828229839
2430,87.81240376774196
2440,87.78102471250003
2450,87.74964565725809
2460,87.71826660201614
2470,87.68688754677422
2480,87.65550849153227
2490,87.62412943629033
2500,87.5927503810484
2510,87.56137132580646
2520,87.52999227056453
2530,87.49861321532259
2540,87.46723416008065
2550,87.43585510483872
2560,87.40447604959678
2570,87.37309699435485
2580,87.34171793911291
2590,87.31033888387097
2600,87.27895982862904
2610,87.2475807733871
2620,87.21620171814516
2630,87.18482266290323
2640,87.15344360766129
2650,87.12206455241935
2660,87.09068549717742
2670,87.05930644193548
2680,87.02792738669355
2690,86.9965483314516
2700,86.96516927620966
2710,86.93379022096774
2720,86.9024111657258
2730,86.87103211048387
2740,86.83965305524193
2750,86.80827399999998
2760,86.77689494475806
2770,86.74551588951611
2780,86.71413683427417
2790,86.68275777903224
2800,86.6513787237903
2810,86.61999966854836
