wl	k
0.300	2.8607E-06
0.310	1.3679E-06
0.320	6.6608E-07
0.334	2.6415E-07
0.350	9.2894E-08
0.365	3.4191E-08
0.370	2.7405E-08
0.380	2.0740E-08
0.390	1.3731E-08
0.400	1.0227E-08
0.405	9.0558E-09
0.420	9.3912E-09
0.436	1.1147E-08
0.460	1.0286E-08
0.500	9.5781E-09
0.546	6.9658E-09
0.580	9.2541E-09
0.620	1.1877E-08
0.660	1.2643E-08
0.700	8.9305E-09
1.060	1.0137E-08
1.530	9.8390E-08
1.970	1.0933E-06
2.325	4.2911E-06
2.500	8.1300E-06
5.0	0.003
6.0	0.005
7.0	0.008
8.0	0.028
8.2	0.061
8.4	0.216
8.5	0.354
8.7	0.543
9.0	0.759
9.2	0.938
9.4	1.123
9.5	1.187
9.6	1.232
9.8	1.240
10.0	1.123
10.5	0.809
11.0	0.485
11.5	0.286
12.0	0.222
12.5	0.244
13.0	0.306
13.5	0.304
14.0	0.280
14.5	0.269
15.0	0.299
15.5	0.288
16.0	0.278
16.5	0.288
17.0	0.309
17.5	0.322
18.0	0.329
18.5	0.382
19.0	0.521
19.5	0.760
20.0	0.966
21.0	1.223
22.0	1.216
23.0	0.988
24.0	0.746
25.0	0.582
27.0	0.462
30.0	0.381
35.0	0.421
40.0	0.487
45.0	0.538
50.0	0.545
60.0	0.536
70.0	0.515
80.0	0.493
90.0	0.470
100.0	0.445
