wl	n
0.2100	1.5383576204905
0.2174	1.530846431063
0.2251	1.5240789072975
0.2330	1.5180417677275
0.2412	1.5125721155558
0.2497	1.5076095872199
0.2585	1.5031009629039
0.2676	1.498999218542
0.2770	1.495262719426
0.2868	1.4918215034661
0.2969	1.488683281387
0.3074	1.4857914366574
0.3182	1.4831504333467
0.3294	1.4807144415912
0.3410	1.4784676522483
0.3530	1.4763951298847
0.3655	1.4744682820342
0.3783	1.4727046797948
0.3917	1.4710525123802
0.4055	1.4695286500209
0.4197	1.4681218218832
0.4345	1.4668048202486
0.4498	1.465580829975
0.4657	1.4644360310913
0.4821	1.4633719346282
0.4991	1.4623764385944
0.5167	1.4614449911601
0.5349	1.4605730794883
0.5537	1.4597562854765
0.5732	1.4589865613939
0.5934	1.4582607881284
0.6143	1.4575758068817
0.6360	1.4569256013294
0.6584	1.4563104080175
0.6816	1.4557246986958
0.7056	1.4551660299221
0.7305	1.4546298754538
0.7562	1.4541161650842
0.7829	1.4536188536247
0.8104	1.4531396102638
0.8390	1.4526712743322
0.8686	1.4522138205731
0.8992	1.4517653834747
0.9308	1.4513240787777
0.9636	1.4508853971281
0.9976	1.450447735732
1.033	1.4500069615101
1.069	1.4495710901504
1.107	1.4491214616538
1.146	1.448668310738
1.186	1.4482096590065
1.228	1.4477322458328
1.271	1.4472455774929
1.316	1.4467363524093
1.362	1.4462138519129
1.410	1.445664578157
1.460	1.4450861470109
1.512	1.4444759883488
1.565	1.4438434020915
1.620	1.4431739285381
1.677	1.4424645759259
1.736	1.4417121733672
1.797	1.4409133669095
1.861	1.4400509385522
1.926	1.43914806608
1.994	1.4381729429417
2.064	1.4371349603433
2.137	1.4360139618555
2.212	1.4348196176837
2.290	1.433529881253
2.371	1.4321372109342
2.454	1.4306516985468
2.541	1.4290287283802
2.630	1.427296093753
2.723	1.4254044329951
2.819	1.4233613684394
2.918	1.4211544161909
3.021	1.4187459519934
3.128	1.416117293379
3.238	1.4132741569442
3.352	1.4101696832452
3.470	1.4067782146466
3.592	1.4030708962299
3.719	1.3989819997456
3.850	1.3945035722002
3.986	1.3895553417944
4.126	1.3841208059058
4.271	1.3780997735118
4.422	1.3713701305288
4.578	1.36388143366
4.739	1.3555262189157
4.906	1.3461171232165
5.079	1.3354823573874
5.258	1.3234105439689
5.443	1.3096384003386
5.635	1.2937460280032
5.833	1.2753723963511
6.039	1.2537289561387
6.252	1.2280888354422
6.472	1.1973256716307
6.700	1.1596494139777
7 1.097997302093065
8 0.6415507276379124
9 0.5
10 6.748680285267553
11 2.610018010156215
12 2.2157719742726383
13 2.0587449294482676
14 1.9743111344072604
15 1.9218076352439917
16 1.8861812864709893
17 1.8605473370946133
18 1.8413072060325875
19 1.8263968676272098
20 1.8145483027873177
21 1.80494013461072
22 1.7970173924709336
23 1.7903919877485506
24 1.7847846588524134
25 1.7799895383942708
26 1.775851689450056
27 1.7722523949516766
28 1.769099251145204
29 1.7663193315970014
30 1.76385436774305
31 1.7616572858642343
32 1.7596896760860985
33 1.7579199141039588
34 1.7563217479382487
35 1.7548732211806741
36 1.753555843183415
37 1.7523539428268429
38 1.7512541603843517
39 1.7502450444083713
40 1.7493167292911376
41 1.7484606753781646
42 1.7476694580049796
43 1.7469365951073446
44 1.7462564054747518
45 1.7456238915196813
46 1.7450346417906328
47 1.7444847494850733
48 1.7439707440045698
49 1.7434895332001195
50 1.7430383544257535
51 1.7426147328858144
52 1.7422164460501488
53 1.7418414931400064
54 1.741488068869307
55 1.7411545407714883
56 1.740839429559196
57 1.7405413920587292
58 1.7402592063380233
59 1.7399917587096716
60 1.7397380323418856
61 1.7394970972526036
62 1.739268101496887
63 1.7390502633867424
64 1.738842864606615
65 1.7386452441079658
66 1.7384567926832213
67 1.7382769481335905
68 1.738105190957226
69 1.7379410404943332
70 1.737784051474436
71 1.7376338109183211
72 1.737489935353427
73 1.7373520683067791
74 1.7372198780441614
75 1.7370930555281385
76 1.7369713125709456
77 1.7368543801611862
78 1.736742006945817
79 1.7366339578511003
80 1.7365300128281103
81 1.7364299657100535
82 1.736333623170112
83 1.736240803769789
84 1.7361513370888548
85 1.7360650629289622
86 1.735981830583862
87 1.7359014981699092
88 1.7358239320112132
89 1.735749006074374
90 1.7356766014482758
91 1.7356066058648643
92 1.7355389132572447
93 1.7354734233518108
94 1.7354100412914266
95 1.735348677286987
96 1.735289246294927
97 1.7352316677184925
98 1.7351758651307847
99 1.7351217660177796
100 1.7350693015396876
