"Wavelength, µm","T"
0,31,0,997976836856263
0,32,0,9994601845154983
0,33,0,9997608486805436
0,34,0,9998997327815737
0,35,0,9999598602274884
0,36,0,999981084300471
0,37,0,9999862076542869
0,38,0,9999803701989916
0,39,0,9999908878117477
0,4,0,999993569180516
0,41,0,9999933122612215
0,42,0,9999931812711929
0,43,0,9999929950035206
0,44,0,9999933112860108
0,45,0,9999946244003525
0,46,0,9999954406033168
0,47,0,9999954547273416
0,48,0,9999955939260101
0,49,0,9999960146732609
0,5,0,9999962502020392
0,51,0,9999963064794581
0,52,0,9999961769307095
0,53,0,9999958056862269
0,54,0,9999953737246307
0,55,0,9999949734643874
0,56,0,9999943249533739
0,57,0,9999932737074033
0,58,0,9999922803783311
0,59,0,9999914740733681
0,6,0,9999904747364399
0,61,0,999989252720786
0,62,0,999987895820787
0,63,0,9999862109966474
0,64,0,9999847751725014
0,65,0,9999838165788895
0,66,0,9999826585589167
0,67,0,999981075600039
0,68,0,9999797276928919
0,69,0,9999788923625634
0,7,0,9999778475291723
0,71,0,9999761241808647
0,72,0,9999744138004981
0,73,0,9999727158552002
0,74,0,9999710298409025
0,75,0,9999693385257735
0,76,0,9999676586533588
0,77,0,9999659734584861
0,78,0,99996433147647
0,79,0,9999626992538032
0,8,0,999961092131916
0,81,0,9999594005872676
0,82,0,9999577809509533
0,83,0,9999562457631777
0,84,0,9999547920076304
0,85,0,9999534315932417
0,86,0,9999521612636212
0,87,0,9999509779121216
0,88,0,9999498785733293
0,89,0,9999488745339236
0,9,0,9999479626170141
0,91,0,9999472916785445
0,92,0,999946648984499
0,93,0,9999460201122307
0,94,0,999945417988356
0,95,0,9999448417681535
0,96,0,9999442251959016
0,97,0,9999436601997216
0,98,0,9999431580227772
0,99,0,9999427040687946
1,0,9999423094566728
1,1,0,9999416137770782
1,2,0,9999437251870854
1,3,0,9999482568911064
1,4,0,9999556686223329
1,5,0,9999645299536228
1,6,0,9999711370340386
1,7,0,9999729752763709
1,8,0,9999726336117951
1,9,0,9999722882298339
2,0,9999722098575395
2,1,0,9999732160373301
2,2,0,9999693099667164
2,3,0,9999722341700594
2,4,0,9999718726693556
2,5,0,9999682126141236
2,6,0,9999667335037504
2,7,0,9999525281711686
2,8,0,9997085475621579
2,9,0,9996563904771322
3,0,9996887375641867
3,1,0,9996991009713218
3,2,0,9996785489382803
3,3,0,9996443588071187
3,4,0,9996320209015758
3,5,0,9996176963908185
3,6,0,9996255224767394
3,7,0,9996437898693996
3,8,0,9996597738015855
3,9,0,99966720767369
4,0,9996670466200027
4,1,0,9996255309873524
4,2,0,9995707411619584
4,3,0,999479653890642
4,4,0,9993584641728344
4,5,0,9991687312134979
4,6,0,9979704081027
