************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 01/15/2025 15:50:51
Simulation start date: 01/01/2018
Simulation end date: 12/31/2018
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 Cotton, 100%irrigation treatment
************************************************************************
Year-DOY  Year  DOY  DOW      Date  ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW      Date
2018-001  2018  001  Mon  01/01/18  0.060 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.000 0.000 0.000  0.000  15.100 0.500  0.030  21.400 -99.999 -99.999 0.200 0.699  14.954 1.000 0.500  0.030  0.030  19.970 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  30.200   0.000   0.500   0.000  2018  001  Mon  01/01/18
2018-002  2018  002  Tue  01/02/18  0.030 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.022 1.000 0.743  0.022  13.200 1.243  0.037  21.400 -99.999 -99.999 0.200 0.699  14.948 1.000 1.243  0.037  0.015  13.163 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  12.700   0.000   0.500   0.000  2018  002  Tue  01/02/18
2018-003  2018  003  Wed  01/03/18  0.020 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.015 1.000 0.743  0.015  39.778 1.243  0.025  21.400 -99.999 -99.999 0.200 0.699  14.959 1.000 1.243  0.025  0.010  39.775 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  39.300   0.000   0.500   0.000  2018  003  Wed  01/03/18
2018-004  2018  004  Thu  01/04/18  0.040 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.030 1.000 0.743  0.030  38.885 1.243  0.050  21.400 -99.999 -99.999 0.200 0.698  14.937 1.000 1.243  0.050  0.020  38.850 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  38.400   0.000   0.500   0.000  2018  004  Thu  01/04/18
2018-005  2018  005  Fri  01/05/18  0.030 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.022 1.000 0.743  0.022  10.070 1.243  0.037  21.400 -99.999 -99.999 0.200 0.699  14.948 1.000 1.243  0.037  0.015  10.063 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   9.600   0.000   0.500   0.000  2018  005  Fri  01/05/18
2018-006  2018  006  Sat  01/06/18  0.040 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.030 1.000 0.743  0.030  31.178 1.243  0.050  21.400 -99.999 -99.999 0.200 0.698  14.937 1.000 1.243  0.050  0.020  31.150 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  30.700   0.000   0.500   0.000  2018  006  Sat  01/06/18
2018-007  2018  007  Sun  01/07/18  0.030 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.022 1.000 0.743  0.022  29.770 1.243  0.037  21.400 -99.999 -99.999 0.200 0.699  14.948 1.000 1.243  0.037  0.015  29.763 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  29.300   0.000   0.500   0.000  2018  007  Sun  01/07/18
2018-008  2018  008  Mon  01/08/18  0.010 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.007 1.000 0.743  0.007  19.378 1.243  0.012  21.400 -99.999 -99.999 0.200 0.700  14.969 1.000 1.243  0.012  0.005  19.388 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  18.900   0.000   0.500   0.000  2018  008  Mon  01/08/18
2018-009  2018  009  Tue  01/09/18  0.000 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.000 1.000 0.743  0.000  20.293 1.243  0.000  21.400 -99.999 -99.999 0.200 0.700  14.980 1.000 1.243  0.000  0.000  20.300 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  19.800   0.000   0.500   0.000  2018  009  Tue  01/09/18
2018-010  2018  010  Wed  01/10/18  0.460 0.500 0.500 1.000 1.243 0.000 1.000 1.000   0.342 1.000 0.743  0.342  34.800 1.243  0.572  21.400 -99.999 -99.999 0.200 0.677  14.490 1.000 1.243  0.572  0.230  34.228 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  34.300   0.000   0.500   0.000  2018  010  Wed  01/10/18
