************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 04/04/2025 14:40:34
Simulation start date: 01/01/2023
Simulation end date: 12/31/2023
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: Cotton, 100%irrigation treatment
************************************************************************
Year-DOY  Year  DOY  DOW      Date  ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW      Date
2023-001  2023  001  Sun  01/01/23  0.380 0.600 0.600 0.010 1.211 0.000 1.000 1.000  24.493 0.000 0.000  0.000   0.000 0.600  0.228  48.000 -99.999 -99.999 0.200 0.691  33.162 1.000 0.600  0.228  0.228   0.000 -99.999  30.221   0.630 -99.999 -99.999 -99.999 -99.999   0.820   0.813   0.000   0.000  2023  001  Sun  01/01/23
2023-002  2023  002  Mon  01/02/23  0.400 0.600 0.600 0.010 1.211 0.000 1.000 1.000  24.487 0.000 0.000  0.000   0.000 0.600  0.240  48.000 -99.999 -99.999 0.200 0.690  33.139 1.000 0.600  0.240  0.240   0.000 -99.999  30.455   0.634 -99.999 -99.999 -99.999 -99.999   0.820   0.813   0.000   0.000  2023  002  Mon  01/02/23
2023-003  2023  003  Tue  01/03/23  0.400 0.600 0.600 0.010 1.211 0.000 1.000 1.000  24.481 0.001 0.000  0.000   0.000 0.600  0.240  48.000 -99.999 -99.999 0.200 0.690  33.139 1.000 0.600  0.240  0.240   0.000 -99.999  30.689   0.639 -99.999 -99.999 -99.999 -99.999   0.820   0.813   0.000   0.000  2023  003  Tue  01/03/23
2023-004  2023  004  Wed  01/04/23  0.690 0.600 0.600 0.010 1.211 0.000 1.000 1.000  24.474 0.001 0.001  0.000   0.000 0.601  0.414  48.000 -99.999 -99.999 0.200 0.683  32.804 1.000 0.601  0.414  0.414   0.000 -99.999  31.096   0.648 -99.999 -99.999 -99.999 -99.999   0.820   0.813   0.000   0.000  2023  004  Wed  01/04/23
2023-005  2023  005  Thu  01/05/23  0.550 0.600 0.600 0.010 1.211 0.000 1.000 1.000  24.468 0.001 0.001  0.000   0.000 0.601  0.330  48.000 -99.999 -99.999 0.200 0.687  32.966 1.000 0.601  0.330  0.330   0.000 -99.999  31.420   0.655 -99.999 -99.999 -99.999 -99.999   0.820   0.813   0.000   0.000  2023  005  Thu  01/05/23
2023-006  2023  006  Fri  01/06/23  0.670 0.600 0.600 0.010 1.211 0.000 1.000 1.000  24.463 0.002 0.001  0.001   0.000 0.601  0.403  48.000 -99.999 -99.999 0.200 0.684  32.827 1.000 0.601  0.403  0.402   0.000 -99.999  31.817   0.663 -99.999 -99.999 -99.999 -99.999   0.820   0.813   0.000   0.000  2023  006  Fri  01/06/23
2023-007  2023  007  Sat  01/07/23  0.570 0.600 0.600 0.010 1.211 0.000 1.000 1.000  24.457 0.002 0.001  0.001   0.000 0.601  0.343  48.000 -99.999 -99.999 0.200 0.686  32.942 1.000 0.601  0.343  0.342   0.000 -99.999  32.153   0.670 -99.999 -99.999 -99.999 -99.999   0.820   0.813   0.000   0.000  2023  007  Sat  01/07/23
2023-008  2023  008  Sun  01/08/23  0.250 0.600 0.600 0.010 1.211 0.000 1.000 1.000  24.450 0.002 0.001  0.000   0.000 0.601  0.150  48.000 -99.999 -99.999 0.200 0.694  33.311 1.000 0.601  0.150  0.150   0.000 -99.999  32.296   0.673 -99.999 -99.999 -99.999 -99.999   0.820   0.813   0.000   0.000  2023  008  Sun  01/08/23
2023-009  2023  009  Mon  01/09/23  0.160 0.600 0.600 0.010 1.211 0.000 1.000 1.000  23.364 0.003 0.002  0.000   0.000 0.602  0.096  48.000 -99.999 -99.999 0.200 0.696  33.415 1.000 0.602  0.096  0.096   0.000 -99.999  31.306   0.652 -99.999 -99.999 -99.999 -99.999   0.820   0.813   1.080   0.000  2023  009  Mon  01/09/23
2023-010  2023  010  Tue  01/10/23  1.270 0.600 0.600 0.010 1.211 0.000 1.000 1.000  23.075 0.061 0.038  0.048   0.000 0.638  0.810  48.000 -99.999 -99.999 0.200 0.668  32.046 1.000 0.638  0.810  0.762   0.000 -99.999  31.779   0.662 -99.999 -99.999 -99.999 -99.999   0.820   0.813   0.330   0.000  2023  010  Tue  01/10/23
